"","year","id","imdb_id","title","rating"
"1",1888,8040,"0392728","Roundhay Garden Scene",0
"2",1892,5433,"0000003","Pauvre Pierrot",0
"3",1895,6200,"0132134","The Execution of Mary, Queen of Scots",0
"4",1895,5444,"0000014","Tables Turned on the Gardener",0
"5",1896,5406,"0000131","Une nuit terrible",0
"6",1896,5445,"0223341","La fee aux choux",0
"7",1896,6199,"0000012","The Arrival of a Train",0
"8",1896,4982,"0000091","The House of the Devil",0
"9",1897,9328,"0000041","Bataille de neige",0
"10",1898,4978,"0135696","Four Heads Are Better Than One",0
"11",1898,5411,"0224240","The Temptation of St. Anthony",0
"12",1898,5410,"0000211","The Astronomer&#39;s Dream; or Man in the Moon, The",0
"13",1899,5914,"0000230","Cinderella",3
"14",1899,4994,"0000246","A Turn of the Century Illusionist",0
"15",1900,5438,"0000313","Let Me Dream Again",0
"16",1900,4346,"0000306","Hamlet ( Le Duel d’Hamlet)",0
"17",1900,1594,"0291476","Sherlock Holmes Baffled",0
"18",1900,4993,"0135453","The One-Man Band",0
"19",1900,5069,"0377995","Grandma Threading Her Needle",0
"20",1900,4271,"0000300","The Enchanted Drawing",0
"21",1900,5072,"0230746","Searching Ruins on Broadway, Galveston, for Dead Bodies",0
"22",1900,4345,"0257654","Explosion of a Motor Car (a.k.a The Dlights of Automobiling)",0
"23",1900,4344,"0000272","As Seen Through A Telescope (a.k.a The Professor and His Field Glass)",0
"24",1900,5446,"0227438","The Doctor and the Monkey",0
"25",1900,4343,"0000304","Grandma’s Reading Glass",0
"26",1901,5437,"0258104","Reve et realite",0
"27",1901,4995,"0000359","L’homme a la tete en caoutchouc",0
"28",1901,5500,"0131934","Bluebeard",0
"29",1902,1252,"0000417","Le voyage dans la lune",0
"30",1902,5443,"0000413","Mephistopheles’ School of Magic",0
"31",1902,5432,"0367177","The Twentieth Century Tramp; or, Happy Hooligan and His Airship",0
"32",1902,5431,"0229024","Gulliver’s Travels",0
"33",1903,1319,"0000439","The Great Train Robbery",0
"34",1903,5064,"0223755","The Monster",0
"35",1903,5683,"0189498","The Enchanted Well",0
"36",1903,5063,"0000455","The Music Lover",0
"37",1903,5002,"0135180","The Infernal Boiling Pot",0
"38",1904,5601,"0135631","The Untamable Whiskers",0
"39",1904,5224,"0215664","The Cook in Trouble",0
"40",1904,5404,"0135179","The Living Playing Cards",0
"41",1904,6135,"0000499","Le voyage a travers l’impossible",0
"42",1905,5003,"0135690","The Scheming Gambler&#39;s Paradise",0
"43",1905,5602,"0215575","The Black Imp",0
"44",1906,1349,"0000574","The Story of the Kelly Gang",1
"45",1906,5684,"0000567","The 400 Tricks of the Devil",0
"46",1906,7215,"1260944","The Consequence of Feminism",0
"47",1906,5603,"0135122","The Hilarious Posters",0
"48",1906,6206,"0449172","A Funny Shave",0
"49",1906,5435,"0000554","Humorous Phases of Funny Faces",0
"50",1906,5024,"0216016","The Mysterious Retort",0
"51",1907,5615,"0215817","Good Glue Sticks",0
"52",1907,5223,"0215737","The Eclipse: Courtship of the Sun and Moon",0
"53",1908,6231,"1802750","Unusual Cooking",0
"54",1909,6211,"0277596","Le barometre de la fidelite",1
"55",1909,4409,"0001009","The Princess Nicotine; or Smoke Fairy",2
"56",1909,5635,"0127948","The Devilish Tenant",0
"57",1910,5685,"1515725","A Trip to Mars",0
"58",1910,1464,"0232821","Tilly the Tomboy Visits the Poor",3
"59",1910,4983,"0486978","Mobilier fidele",0
"60",1912,2003,"0002101","Cleopatra",2
"61",1912,5357,"0277865","Max and the Donkey",0
"62",1912,2005,"0002281","The Invaders",0
"63",1913,5364,"0003512","The Voyage of the Bourrichon Family",0
"64",1913,5915,"0003424","Suspense",0
"65",1914,4457,"0003973","A Florida Enchantment",2
"66",1915,1258,"0004972","The Birth of a Nation",2
"67",1916,2014,"0279914","Lady Windermere’s Fan",3
"68",1916,5368,"0007507","The Vagabond",0
"69",1916,7004,"0007361","Snow White",3
"70",1916,5944,"0006864","Intolerance: Love’s Struggle Throughout the Ages",0
"71",1916,2008,"0006745","Gretchen the Greenhorn",3
"72",1917,1981,"0008652","A Tale of Two Cities",3
"73",1917,2019,"0008489","Raffles, the Amateur Cracksman",2
"74",1917,1994,"0008443","The Poor Little Rich Girl",3
"75",1917,2015,"0008519","A Romance of the Redwoods",0
"76",1917,1993,"0008499","Rebecca of Sunnybrook Farm",3
"77",1918,1996,"0009682","Tarzan of the Apes",3
"78",1918,5441,"0008844","Are Crooks Dishonest?",0
"79",1918,7108,"0010281","Ich mochte kein Mann sein",3
"80",1918,2007,"0009652","Stella Maris",3
"81",1919,2588,"0009968","Broken Blossoms or The Yellow Man and the Girl",0
"82",1919,2018,"0010879","When the Clouds Roll by",3
"83",1920,5948,"0011870","Within Our Gates",3
"84",1920,1991,"0011588","Pollyanna",3
"85",1920,1306,"0010323","The Cabinet of Dr. Caligari",0
"86",1921,1263,"0012532","Orphans of the Storm",3
